" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #22 Christoffer"," 8-13"," 62%"," 0-0"," -"," 2-3"," 67%"," 1"," 11"," 4"," 3"," 0"," 0"," 1"," 46"," 0"," 18"
" #62 Rasmus"," 7-11"," 64%"," 0-2"," 0%"," 0-0"," -"," 0"," 1"," 1"," 3"," 4"," 0"," 3"," 58"," 0"," 14"
" #20 Oscar"," 5-11"," 45%"," 0-1"," 0%"," 1-5"," 20%"," 1"," 9"," 2"," 0"," 2"," 1"," 0"," 61"," 0"," 11"
" #18 Konstantin"," 4-6"," 67%"," 0-0"," -"," 1-6"," 17%"," 1"," 9"," 4"," 0"," 3"," 0"," 1"," 38"," 0"," 9"
" #14 Christobal"," 4-12"," 33%"," 0-0"," -"," 0-0"," -"," 0"," 2"," 0"," 1"," 2"," 0"," 1"," 50"," 0"," 8"
" #54 Alvin"," 3-7"," 43%"," 2-5"," 40%"," 0-0"," -"," 0"," 0"," 3"," 0"," 5"," 0"," 1"," 49"," 0"," 8"
" #5 Martin"," 4-15"," 27%"," 0-6"," 0%"," 0-0"," -"," 1"," 1"," 3"," 0"," 5"," 0"," 1"," 54"," 0"," 8"
" #30 Sigve"," 2-6"," 33%"," 0-0"," -"," 0-0"," -"," 2"," 3"," 2"," 0"," 2"," 0"," 2"," 44"," 0"," 4"
" #11 Vemund B-N"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #35 Vemund"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #23 Edvard"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #12 Emilian"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 37-81"," 46%"," 2-14"," 14%"," 4-14"," 29%"," 6"," 36"," 19"," 7"," 23"," 1"," 10"," -"," -"," 80"
" Bislet"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
