" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #22 Christoffer"," 7-10"," 70%"," 0-0"," -"," 2-6"," 33%"," 3"," 13"," 1"," 1"," 6"," 1"," 1"," 50"," 0"," 16"
" #18 Konstantin"," 5-10"," 50%"," 0-0"," -"," 4-7"," 57%"," 6"," 11"," 0"," 0"," 5"," 4"," 1"," 51"," 0"," 14"
" #62 Rasmus"," 4-8"," 50%"," 0-2"," 0%"," 3-7"," 43%"," 1"," 2"," 1"," 0"," 2"," 0"," 3"," 56"," 0"," 11"
" #54 Alvin"," 3-10"," 30%"," 1-4"," 25%"," 1-4"," 25%"," 1"," 2"," 0"," 0"," 0"," 0"," 1"," 41"," 0"," 8"
" #5 Martin"," 3-11"," 27%"," 0-1"," 0%"," 0-0"," -"," 0"," 4"," 1"," 0"," 2"," 0"," 2"," 34"," 0"," 6"
" #20 Oscar"," 2-11"," 18%"," 0-1"," 0%"," 1-4"," 25%"," 1"," 9"," 1"," 0"," 1"," 1"," 1"," 55"," 0"," 5"
" #12 Emilian"," 2-6"," 33%"," 0-1"," 0%"," 0-0"," -"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 18"," 0"," 4"
" #30 Sigve"," 2-4"," 50%"," 0-0"," -"," 0-0"," -"," 0"," 2"," 1"," 0"," 1"," 1"," 0"," 23"," 0"," 4"
" #23 Edvard"," 0-1"," 0%"," 0-0"," -"," 0-0"," -"," 0"," 1"," 0"," 0"," 2"," 0"," 0"," 4"," 0"," 0"
" #11 Vemund B-N"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 8"," 0"," 0"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #35 Vemund"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #14 Christobal"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 28-71"," 39%"," 1-9"," 11%"," 11-28"," 39%"," 12"," 46"," 5"," 1"," 21"," 7"," 9"," -"," -"," 68"
" Oppsal"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
