" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #14 Christobal"," 12-21"," 57%"," 0-0"," -"," 1-3"," 33%"," 1"," 2"," 2"," 4"," 3"," 0"," 1"," 75"," 0"," 25"
" #20 Oscar"," 8-16"," 50%"," 0-0"," -"," 4-6"," 67%"," 1"," 2"," 1"," 1"," 6"," 1"," 0"," 73"," 0"," 20"
" #18 Konstantin"," 6-15"," 40%"," 0-0"," -"," 2-4"," 50%"," 7"," 12"," 2"," 1"," 6"," 0"," 2"," 63"," 0"," 14"
" #54 Alvin"," 3-9"," 33%"," 1-5"," 20%"," 2-2"," 100%"," 2"," 2"," 4"," 0"," 2"," 0"," 0"," 37"," 0"," 9"
" #62 Rasmus"," 4-9"," 44%"," 1-2"," 50%"," 0-1"," 0%"," 5"," 2"," 4"," 0"," 4"," 0"," 2"," 50"," 0"," 9"
" #5 Martin"," 3-11"," 27%"," 0-1"," 0%"," 1-2"," 50%"," 0"," 1"," 3"," 2"," 5"," 0"," 2"," 60"," 0"," 7"
" #30 Sigve"," 0-3"," 0%"," 0-0"," -"," 0-0"," -"," 0"," 2"," 0"," 2"," 0"," 0"," 2"," 39"," 0"," 0"
" #35 Vemund"," 0-1"," 0%"," 0-0"," -"," 0-0"," -"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 23"," 0"," 0"
" #11 Vemund B-N"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #23 Edvard"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #12 Emilian"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #22 Christoffer"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 36-85"," 42%"," 2-8"," 25%"," 10-18"," 56%"," 18"," 23"," 16"," 10"," 26"," 1"," 9"," -"," -"," 84"
" Asker"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
