" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #22 Christoffer"," 11-15"," 73%"," 0-0"," -"," 6-7"," 86%"," 3"," 8"," 2"," 0"," 2"," 2"," 4"," 59"," 12"," 28"
" #18 Konstantin"," 8-13"," 62%"," 0-0"," -"," 0-0"," -"," 3"," 1"," 3"," 4"," 0"," 0"," 1"," 46"," 20"," 16"
" #20 Oscar"," 6-10"," 60%"," 0-1"," 0%"," 2-3"," 67%"," 3"," 6"," 0"," 3"," 1"," 1"," 0"," 46"," 20"," 14"
" #62 Rasmus"," 5-9"," 56%"," 1-2"," 50%"," 1-4"," 25%"," 2"," 8"," 3"," 1"," 2"," 1"," 3"," 52"," 7"," 12"
" #54 Alvin"," 4-13"," 31%"," 0-2"," 0%"," 1-1"," 100%"," 0"," 2"," 1"," 1"," 2"," 0"," 1"," 62"," 11"," 9"
" #14 Christobal"," 4-10"," 40%"," 0-0"," -"," 0-0"," -"," 1"," 3"," 0"," 1"," 3"," 0"," 3"," 39"," 15"," 8"
" #5 Martin"," 2-9"," 22%"," 1-2"," 50%"," 0-0"," -"," 0"," 2"," 1"," 1"," 1"," 0"," 4"," 46"," 20"," 5"
" #23 Edvard"," 2-5"," 40%"," 0-2"," 0%"," 0-0"," -"," 0"," 3"," 0"," 0"," 0"," 0"," 2"," 52"," 7"," 4"
" #11 Vemund B-N"," 1-4"," 25%"," 0-0"," -"," 0-1"," 0%"," 1"," 2"," 2"," 2"," 2"," 0"," 1"," 52"," 7"," 2"
" #12 Emilian"," 0-4"," 0%"," 0-0"," -"," 0-0"," -"," 0"," 4"," 5"," 1"," 3"," 0"," 2"," 36"," 17"," 0"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #35 Vemund"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #30 Sigve"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 43-92"," 47%"," 2-9"," 22%"," 10-16"," 62%"," 13"," 39"," 17"," 14"," 16"," 4"," 21"," -"," -"," 98"
" Eidsvoll"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
